CO2 (g/s),CO (g/s),HC (g/s),NOx (g/s),vel (mph),fuel (g/s),engine (rpm),elevation (m),phase_num
2.52632,0.009188,0.001953,0.067288,0,0.7857,649.05,294.8,1
2.529784,0.009169,0.001956,0.066902,0,0.7969,649.6,295.07,1
2.516255,0.009117,0.001947,0.068674,0,0.7955,650.7,295.1,1
2.519206,0.009156,0.001946,0.068621,0,0.7842,649.95,295.37,1
2.489504,0.009129,0.001958,0.068336,0,0.7842,650.225,295.4,1
2.480535,0.009143,0.001971,0.067357,0,0.7875,650.5,295.67,1
2.493903,0.009128,0.001953,0.067297,0,0.7806,648.925,295.7,1
2.504299,0.009184,0.00196,0.066871,0,0.7891,651.125,295.97,1
2.507417,0.009115,0.001969,0.067682,0,0.7705,649.55,296,1
2.492752,0.009068,0.00198,0.069249,0,0.7774,649.925,296.18,1
2.491668,0.009057,0.001973,0.068894,0,0.7806,649.825,296.2,1
2.496735,0.00909,0.001962,0.068047,0,0.779,650.1,296.29,1
2.496921,0.009123,0.001949,0.06692,0,0.7857,649.975,296.3,1
2.496088,0.009068,0.001963,0.067913,0,0.784,649.8,296.3,1
2.49467,0.009085,0.001949,0.067064,0,0.779,650,296.3,1
2.483264,0.009095,0.00197,0.067193,0,0.7689,650.175,296.3,1
2.490347,0.009108,0.001967,0.067514,0,0.7672,651,296.3,1
2.481576,0.009114,0.001946,0.06812,0,0.7705,649.1,296.3,1
2.506953,0.00908,0.001923,0.06672,0,0.7738,649.625,296.3,1
2.502854,0.009038,0.001931,0.067607,0,0.7606,649.625,296.3,1
2.482171,0.00907,0.001934,0.066968,0,0.7705,650.175,296.3,1
2.467553,0.009009,0.001925,0.068819,0,0.7771,649.4,296.3,1
2.469416,0.009081,0.001896,0.067634,0,0.7573,648.775,296.3,1
2.480215,0.009067,0.001913,0.06588,0,0.7705,650.55,296.3,1
2.47132,0.009011,0.001903,0.065082,0,0.7789,649.775,296.3,1
2.460521,0.008965,0.00192,0.066356,0,0.7693,650.45,296.3,1
2.476532,0.008988,0.001926,0.067433,0,0.7705,650.45,296.3,1
2.457521,0.009005,0.00192,0.066122,0,0.7723,648.975,296.48,1
2.468408,0.008942,0.001914,0.06524,0,0.7674,651.1,296.5,1
2.472966,0.008864,0.001915,0.066387,0,0.7527,648.9,296.5,1
2.451272,0.008906,0.00189,0.066241,0,0.7672,650.625,296.5,1
2.444878,0.008845,0.001884,0.065535,0,0.756,650.525,296.5,1
2.450122,0.008898,0.001897,0.065158,0,0.7545,648.85,296.5,1
2.426426,0.008936,0.001899,0.065667,0,0.7776,650.35,296.41,1
2.422406,0.008869,0.001899,0.066248,0,0.7674,649.625,296.4,1
2.439394,0.008796,0.001895,0.064981,0,0.7545,651.475,296.13,1
2.444556,0.008786,0.00189,0.063872,0,0.756,648.775,296.1,1
2.454778,0.008706,0.0019,0.065201,0,0.7576,649.975,296.1,1
2.455937,0.008681,0.001919,0.065638,0,0.7705,649.7,296.1,1
2.451408,0.008741,0.001913,0.066377,0,0.7594,649.875,295.83,1
2.461055,0.00878,0.001924,0.066944,0,0.7674,650.475,295.8,1
2.4776,0.008801,0.001933,0.065948,0,0.7545,649.825,295.8,1
2.451388,0.008762,0.001939,0.064481,0,0.7512,649.825,295.8,1
2.457304,0.0087,0.001946,0.063789,0,0.7608,649.325,295.8,1
2.46326,0.008736,0.001945,0.064836,0,0.7545,650.15,295.8,1
2.454248,0.008811,0.001949,0.065732,0,0.7626,650.775,295.8,1
2.441582,0.008734,0.001954,0.06549,0,0.7362,655.15,295.8,1
2.422079,0.008735,0.00194,0.065424,0,0.697,650.075,296.16,1
2.398055,0.008752,0.001951,0.063217,0,0.692,649.9,296.2,1
2.368603,0.008737,0.001974,0.062426,0,0.7005,650.125,296.2,1
2.328893,0.008711,0.001975,0.062281,0,0.6885,650.2,296.2,1
2.315429,0.008706,0.001969,0.061385,0,0.7071,648.775,296.2,1
2.320158,0.008715,0.001962,0.060735,0,0.7088,650.175,296.2,1
2.298877,0.0087,0.001962,0.060121,0,0.7055,650.3,296.2,1
2.278633,0.00862,0.001958,0.058492,0,0.687,649.25,296.2,1
2.26728,0.008641,0.001962,0.059781,0,0.7022,649.6,296.65,1
2.26108,0.008704,0.001955,0.061163,0,0.7135,649.875,296.7,1
2.253272,0.008676,0.001945,0.060087,0,0.7053,649.65,296.7,1
2.252444,0.008649,0.001949,0.059024,0,0.7182,649.4,296.7,1
2.25953,0.008653,0.001929,0.059289,0,0.7086,649.775,296.7,1
2.272147,0.008646,0.001924,0.059674,0,0.7086,649.275,296.7,1
2.288729,0.008611,0.001933,0.0604,0,0.7182,649.425,296.7,1
2.282809,0.008613,0.001939,0.059467,0,0.7215,648.325,296.7,1
2.299422,0.008625,0.001946,0.060889,0,0.7395,649.325,296.7,1
2.322481,0.008626,0.001936,0.063106,0,0.7395,651.6,296.7,1
2.345531,0.008626,0.001927,0.061453,0,0.7295,648.975,297.42,1
2.352783,0.008579,0.001946,0.060731,0,0.73,651.15,297.6,1
2.3484,0.008598,0.001957,0.06132,0,0.7198,648.75,297.6,1
2.343187,0.008639,0.001945,0.062374,0,0.738,649.3,297.6,1
2.360569,0.008657,0.001945,0.063199,0,0.7463,651.15,297.6,1
2.369908,0.008648,0.00193,0.061914,0,0.7361,649.175,297.6,1
2.374934,0.008599,0.00193,0.061771,0,0.738,650.675,297.6,1
2.38522,0.008547,0.001929,0.062411,0,0.7246,649.475,297.6,1
2.382557,0.008597,0.001923,0.061433,0,0.7348,650.125,297.6,1
2.384688,0.008623,0.001928,0.062615,0,0.738,649.125,297.6,1
2.40209,0.008625,0.001922,0.064746,0,0.7514,649.825,297.6,1
2.390823,0.008638,0.001915,0.063408,0,0.7412,650.5,297.6,1
2.385295,0.008615,0.001938,0.062654,0,0.73,650.45,297.6,1
2.37656,0.008617,0.001934,0.063954,0,0.7364,650.75,297.6,1
2.371952,0.008639,0.001909,0.062038,0,0.7246,648.75,297.6,1
2.396025,0.008586,0.001911,0.061795,0,0.7295,650.075,297.6,1
2.386982,0.008575,0.001946,0.06177,0,0.7395,650.325,297.6,1
2.351592,0.008558,0.001965,0.062726,0,0.7316,649.65,297.6,1
2.346861,0.008533,0.001952,0.06274,0,0.738,650.7,297.6,1
2.367614,0.008599,0.001965,0.0624,0,0.7246,648.4,297.6,1
2.366694,0.008571,0.001967,0.061491,0,0.7348,650.5,297.6,1
2.354788,0.008477,0.001961,0.061539,0,0.738,650.375,297.6,1
2.353082,0.008464,0.001952,0.060854,0,0.7361,649.45,297.6,1
2.35487,0.008524,0.001963,0.061199,0,0.7361,651,297.6,1
2.338824,0.008532,0.001962,0.062223,0,0.73,649.2,297.6,1
2.327927,0.008504,0.001947,0.061228,0,0.7332,649.95,297.6,1
2.343106,0.008501,0.001964,0.061105,0,0.723,650.275,297.6,1
2.351935,0.008508,0.001973,0.061626,0,0.7215,652.875,297.6,1
2.324603,0.008461,0.001971,0.061845,0,0.7005,651,297.6,1
2.329172,0.008373,0.001964,0.061964,0,0.687,648.275,297.6,1
2.314596,0.008368,0.001954,0.060813,0,0.697,650.9,297.6,1
2.299181,0.008387,0.001951,0.058113,0,0.692,648.675,297.6,1
2.281604,0.008314,0.001952,0.059131,0,0.7022,649.675,297.6,1
2.267752,0.008378,0.001959,0.059517,0,0.697,650.625,297.6,1
2.242397,0.008402,0.001976,0.060108,0,0.6969,648.7,297.6,1
2.236898,0.008418,0.001969,0.059419,0,0.6986,650.2,297.6,1
2.22398,0.00839,0.001944,0.057563,0,0.697,649.775,297.6,1
2.234851,0.008326,0.001957,0.056806,0,0.6954,650.05,297.6,1
2.214808,0.008273,0.001942,0.057017,0,0.6869,650.3,297.6,1
2.219376,0.008278,0.001951,0.057549,0,0.697,648.85,297.6,1
2.247147,0.008238,0.001925,0.05899,0,0.6969,650.475,297.6,1
2.237333,0.008302,0.00193,0.057925,0,0.6969,649.15,297.6,1
2.252388,0.008226,0.001939,0.05839,0,0.697,650.175,297.6,1
2.233281,0.008214,0.001944,0.058778,0,0.692,650.475,297.6,1
2.222621,0.008271,0.001942,0.057435,0,0.6856,648.35,297.6,1
2.214168,0.008223,0.001944,0.059632,0,0.697,650.1,297.6,1
2.225849,0.008287,0.00194,0.057283,0,0.6935,650.6,297.6,1
2.233239,0.008229,0.001945,0.056931,0,0.6935,650,297.6,1
2.227419,0.008223,0.00195,0.058077,0,0.689,649.675,297.6,1
2.221076,0.008227,0.001948,0.058772,0,0.6938,648.6,297.6,1
2.2186,0.008246,0.001928,0.05713,0,0.6954,650.25,297.6,1
2.21495,0.008267,0.001922,0.057653,0,0.697,650.35,297.6,1
2.214335,0.008251,0.001916,0.057575,0,0.6935,651.075,297.6,1
2.187357,0.008225,0.001929,0.056871,0,0.6935,647.275,297.6,1
2.179547,0.008227,0.001941,0.058311,0,0.7055,649.55,297.6,1
2.195185,0.008238,0.00195,0.058422,0,0.7022,649.375,297.6,1
2.233441,0.008207,0.001939,0.056622,0,0.7167,650.425,297.6,1
2.259845,0.008129,0.001947,0.056171,0,0.7184,642.375,297.6,1
2.297589,0.008119,0.001957,0.057245,0,0.8267,652.575,297.6,1
2.325678,0.008138,0.001962,0.059606,0,0.784,651.575,297.6,1
2.365246,0.008198,0.001955,0.061407,0,0.7705,648.25,297.6,1
2.399149,0.008217,0.001977,0.0627,0,0.7675,650.8,297.6,1
2.428398,0.008013,0.001968,0.06324,0,0.7771,650.75,297.6,1
2.448819,0.007915,0.001952,0.062918,0,0.7705,649.3,297.6,1
2.480487,0.007905,0.001968,0.064209,0,0.784,650.4,297.6,1
